date,PRECTOTCORR,T2M,RH2M
20200619,1.42,27.38,86.05
20200620,4.46,26.9,86.71
20200621,5.42,26.52,84.56
20200622,1.32,26.63,83.29
20200623,0.82,27.14,80.83
20200624,7.29,26.81,85.8
20200625,11.88,25.91,84.61
20200626,6.94,26.32,84.65
20200627,4.03,26.93,84.37
20200628,1.65,27.1,85.47
20200629,4.83,27.02,87.2
20200630,5.32,26.98,87.8
20200701,1.37,26.87,88.5
20200702,1.88,26.89,86.82
20200703,6.08,26.13,85.27
20200704,0.4,26.57,82.58
20200705,0.68,26.78,84.68
20200706,4.63,26.83,82.54
20200707,1.21,26.9,83.24
20200708,2.2,26.32,87.52
20200709,6.11,26.43,86.02
20200710,11.09,26.06,88.92
20200711,4.71,26.1,89.11
20200712,3.98,26.36,86.13
20200713,1.06,26.3,85.79
20200714,1.28,26.8,86.24
20200715,3.39,27.1,87.61
20200716,6.11,26.14,88.15
20200717,5.89,25.46,89.23
20200718,3.24,26.16,87.47
20200719,8.96,26.27,87.54
20200720,10.85,26.2,88.91
20200721,1.74,26.11,86.76
20200722,0.67,26.15,85.58
20200723,6.71,26.03,88.54
20200724,5.13,26.33,84.91
20200725,2.93,25.6,85.9
20200726,1.15,25.18,84.25
20200727,1.42,26.13,84.4
20200728,3.52,26.27,86.85
20200729,15.27,25.65,86.22
20200730,2.23,26.35,82.14
20200731,5.25,26.61,84.48
20200801,8.07,26.61,85.21
20200802,14.43,26.34,87.43
20200803,6.24,26.15,88.91
20200804,4.58,26.18,89.26
20200805,7.11,26.02,87.32
20200806,33.07,26.22,87.4
20200807,9.37,26.33,85.54
20200808,6.86,26.04,86.35
20200809,5.99,25.49,88.33
20200810,3.69,26.08,88.58
20200811,5.61,26.06,90.7
20200812,2.34,26.14,88.53
20200813,0.45,26.07,86.27
20200814,0.2,26.05,86.58
20200815,0.21,26.11,89.39
20200816,0.2,26.23,88.04
20200817,0.48,26.46,87.21
20200818,0.41,26.56,85.03
20200819,0.3,26.48,85.68
20200820,0.23,26.55,87.17
20200821,0.16,26.74,84.96
20200822,1.28,26.85,84.41
20200823,1.52,26.63,85.28
20200824,0.86,26.59,85.06
20200825,1.08,26.75,85.24
20200826,2.38,26.57,85.5
20200827,2.98,26.65,84.79
20200828,1.8,26.52,84.83
20200829,0.42,26.5,84.93
20200830,0.58,26.55,84.63
20200831,2.51,26.19,86.57
20200901,5.79,26.09,83.86
20200902,16.8,25.66,87.87
20200903,2.97,26.18,87.53
20200904,4.38,26.32,88.05
20200905,5.6,26.15,87.49
20200906,17.7,26.4,84.11
20200907,4.96,26.01,83.67
20200908,6.64,26.4,85.49
20200909,15.21,26.39,89.21
20200910,8.28,26.16,87.34
20200911,3.7,26.59,84.34
20200912,2.75,26.37,86.12
20200913,8.21,26.29,86.55
20200914,7.44,26.24,86.24
20200915,3.65,26.4,86.15
20200916,1.84,26.42,88.51
20200917,4.26,26.34,90.48
20200918,8.01,26.33,90.11
20200919,17.89,25.88,87.0
20200920,14.3,26.23,79.76
20200921,4.04,26.25,82.33
20200922,13.59,26.22,86.01
20200923,2.5,26.38,85.59
20200924,5.73,26.12,87.73
20200925,11.26,24.95,91.21
20200926,2.32,26.1,86.55
20200927,2.78,26.06,89.24
20200928,8.32,26.06,89.49
20200929,14.65,26.25,88.79
20200930,10.89,26.14,86.86
20201001,1.67,26.25,85.1
20201002,2.06,26.16,84.66
20201003,2.63,26.38,84.71
20201004,0.71,26.25,83.53
20201005,0.34,26.25,83.52
20201006,0.28,26.22,83.7
20201007,0.38,26.22,82.55
20201008,1.88,26.34,84.91
20201009,7.68,26.5,85.1
20201010,12.68,26.35,85.4
20201011,10.91,26.57,84.47
20201012,6.38,26.65,85.35
20201013,8.27,26.59,87.62
20201014,11.44,26.69,87.27
20201015,11.16,26.48,88.48
20201016,2.68,26.28,87.51
20201017,0.1,26.3,81.99
20201018,0.33,26.42,86.01
20201019,0.62,26.48,86.41
20201020,0.9,26.6,86.78
20201021,2.23,26.72,87.37
20201022,3.52,26.61,87.32
20201023,1.22,26.37,87.19
20201024,1.78,26.49,85.87
20201025,1.28,26.45,86.24
20201026,1.2,26.41,86.42
20201027,3.31,26.63,83.46
20201028,1.47,26.31,84.65
20201029,1.21,26.5,83.27
20201030,2.44,26.13,85.93
20201031,2.07,26.7,82.62
20201101,2.09,26.31,86.45
20201102,0.93,26.49,85.08
20201103,4.25,27.01,81.61
20201104,17.59,26.96,83.97
20201105,14.85,27.3,80.54
20201106,19.67,26.83,85.2
20201107,5.81,27.72,78.07
20201108,15.92,27.32,81.2
20201109,7.91,26.94,86.49
20201110,13.41,26.84,87.43
20201111,24.48,27.52,80.68
20201112,10.87,26.87,86.35
20201113,21.48,26.97,84.64
20201114,24.59,27.34,83.15
20201115,26.15,27.01,87.62
20201116,30.86,27.01,83.6
20201117,23.0,26.1,86.14
20201118,20.42,25.84,86.45
20201119,3.04,26.56,81.6
20201120,10.9,26.79,80.13
20201121,3.85,26.43,83.25
20201122,2.32,25.73,85.24
20201123,3.87,25.26,89.79
20201124,5.55,25.94,87.33
20201125,6.67,26.31,89.1
20201126,1.6,26.22,84.79
20201127,2.44,25.9,83.43
20201128,2.28,26.62,78.23
20201129,0.95,26.73,80.16
20201130,0.96,26.36,82.97
20201201,2.7,25.73,87.98
20201202,15.39,25.57,91.66
20201203,18.96,26.0,88.42
20201204,16.12,26.33,85.94
20201205,19.75,26.46,88.41
20201206,0.76,26.28,86.46
20201207,0.65,26.48,78.39
20201208,3.92,27.05,78.14
20201209,3.99,26.97,81.54
20201210,5.36,26.39,81.55
20201211,1.12,26.17,81.28
20201212,1.14,25.39,84.38
20201213,0.03,25.54,78.89
20201214,0.02,25.07,78.17
20201215,10.82,25.63,81.22
20201216,6.79,26.53,78.23
20201217,3.47,26.28,79.63
20201218,8.08,25.96,82.25
20201219,4.14,25.7,85.91
20201220,13.14,25.44,89.75
20201221,8.75,25.61,88.44
20201222,9.25,25.54,90.41
20201223,15.7,25.31,89.84
20201224,4.79,26.17,84.6
20201225,0.37,25.47,83.26
20201226,0.79,25.25,82.21
20201227,7.08,25.63,87.75
20201228,5.58,25.74,87.73
20201229,9.14,26.26,86.53
20201230,3.75,26.33,82.12
20201231,20.28,26.57,85.2
20210101,5.32,25.5,82.71
20210102,2.3,25.89,85.31
20210103,2.73,26.47,83.66
20210104,24.62,26.24,85.56
20210105,7.17,25.98,84.23
20210106,16.64,26.27,83.99
20210107,3.07,26.27,83.59
20210108,9.25,26.04,86.62
20210109,21.54,25.73,87.24
20210110,7.56,24.75,87.42
20210111,5.77,25.08,90.51
20210112,13.74,25.69,89.82
20210113,26.31,26.19,85.9
20210114,13.7,25.69,84.14
20210115,3.71,25.34,77.6
20210116,7.99,24.42,87.79
20210117,4.99,26.1,83.65
20210118,3.42,25.59,85.88
20210119,4.92,25.42,85.35
20210120,8.79,25.72,90.4
20210121,3.01,27.04,83.87
20210122,0.71,26.65,80.61
20210123,0.03,25.77,79.61
20210124,0.01,25.09,79.36
20210125,0.01,24.94,79.11
20210126,0.0,24.26,76.99
20210127,0.01,24.26,80.09
20210128,0.01,25.18,80.43
20210129,7.23,24.34,90.29
20210130,5.1,25.88,84.46
20210131,11.76,25.77,81.62
20210201,4.25,25.63,85.79
20210202,2.96,26.01,86.77
20210203,0.86,25.62,84.31
20210204,0.08,25.27,81.84
20210205,0.27,25.23,82.11
20210206,3.76,25.65,83.49
20210207,2.13,25.97,85.16
20210208,1.96,25.53,84.05
20210209,0.07,24.47,80.17
20210210,0.0,24.33,77.48
20210211,0.0,24.34,76.14
20210212,0.01,25.14,78.61
20210213,0.29,25.86,81.14
20210214,0.34,26.13,82.39
20210215,0.1,26.21,80.65
20210216,0.09,25.9,80.74
20210217,0.01,26.05,79.03
20210218,0.1,25.74,78.93
20210219,3.13,26.16,83.55
20210220,3.12,26.92,80.84
20210221,2.51,26.87,79.12
20210222,4.94,26.4,83.97
20210223,0.21,26.07,81.08
20210224,2.51,26.33,79.41
20210225,0.9,26.71,81.21
20210226,0.13,26.55,80.36
20210227,0.09,26.49,78.97
20210228,0.04,26.71,73.05
20210301,0.14,26.17,71.51
20210302,0.07,25.73,67.66
20210303,0.09,25.79,70.8
20210304,0.05,26.33,69.7
20210305,0.07,26.99,71.12
20210306,11.51,27.21,76.66
20210307,8.42,27.11,78.96
20210308,9.53,27.42,78.65
20210309,0.73,27.48,72.67
20210310,8.86,27.02,76.22
20210311,9.31,26.81,77.75
20210312,4.11,26.79,76.57
20210313,4.54,27.48,75.0
20210314,5.95,27.22,78.69
20210315,0.37,27.45,74.3
20210316,0.58,27.45,74.39
20210317,1.21,27.51,73.67
20210318,6.49,26.97,77.22
20210319,7.43,25.94,83.03
20210320,6.79,25.82,77.12
20210321,9.4,26.94,74.84
20210322,3.69,27.09,80.25
20210323,2.02,27.52,78.58
20210324,6.87,26.92,83.04
20210325,3.6,26.99,73.8
20210326,5.48,27.12,72.28
20210327,10.2,27.27,75.13
20210328,38.14,26.92,77.36
20210329,7.1,26.7,80.64
20210330,4.89,26.77,80.74
20210331,0.27,27.14,83.22
20210401,0.31,27.21,87.03
20210402,0.4,27.95,83.46
20210403,0.33,27.4,82.51
20210404,0.15,27.19,81.76
20210405,0.42,27.94,79.18
20210406,0.81,28.33,74.66
20210407,2.77,27.41,78.69
20210408,3.84,26.74,82.31
20210409,1.77,27.01,81.42
20210410,4.72,27.29,79.12
20210411,7.99,26.99,81.86
20210412,10.46,27.4,74.82
20210413,6.67,27.1,82.44
20210414,17.11,27.39,82.0
20210415,30.57,26.31,86.01
20210416,7.39,26.93,81.39
20210417,3.81,27.09,85.68
20210418,3.42,27.01,87.11
20210419,4.01,27.2,85.88
20210420,4.42,27.55,83.58
20210421,9.76,27.71,85.12
20210422,8.74,27.36,86.43
20210423,12.22,27.21,87.24
20210424,8.7,27.69,83.3
20210425,1.84,27.96,79.59
20210426,5.7,27.45,86.43
20210427,0.29,27.63,85.27
20210428,1.82,27.62,86.27
20210429,13.44,27.47,84.15
20210430,10.05,28.02,81.08
20210501,19.71,26.97,88.42
20210502,4.96,27.38,83.66
20210503,17.16,27.39,85.38
20210504,23.07,26.86,86.12
20210505,2.33,28.08,79.8
20210506,25.8,27.56,85.87
20210507,8.82,27.87,81.24
20210508,11.38,27.53,84.39
20210509,11.77,27.81,84.42
20210510,19.34,26.99,89.37
20210511,46.34,26.99,90.06
20210512,15.18,27.2,89.11
20210513,28.96,27.33,88.36
20210514,19.65,26.82,87.74
20210515,4.87,26.6,89.49
20210516,1.17,26.76,87.29
20210517,1.38,27.56,83.0
20210518,0.55,27.76,82.57
20210519,4.52,27.39,86.97
20210520,22.9,27.34,86.44
