report_year,report_week,district,year,week,cases
2023,3,Kandy,2022,2,97.0
2023,3,Kandy,2022,3,73.0
2023,3,Kandy,2023,2,86.0
2023,3,Kandy,2023,3,66.0
2023,3,Matale,2022,2,8.0
2023,3,Matale,2022,3,25.0
2023,3,Matale,2023,2,27.0
2023,3,Matale,2023,3,14.0
2023,3,Nuwara Eliya,2022,2,5.0
2023,3,Nuwara Eliya,2022,3,4.0
2023,3,Nuwara Eliya,2023,2,2.0
2023,3,Nuwara Eliya,2023,3,4.0
2023,3,Galle,2022,2,110.0
2023,3,Galle,2022,3,83.0
2023,3,Galle,2023,2,65.0
2023,3,Galle,2023,3,47.0
2023,3,Hambantota,2022,2,34.0
2023,3,Hambantota,2022,3,26.0
2023,3,Hambantota,2023,2,14.0
2023,3,Hambantota,2023,3,24.0
2023,3,Matara,2022,2,37.0
2023,3,Matara,2022,3,31.0
2023,3,Matara,2023,2,28.0
2023,3,Matara,2023,3,41.0
2023,3,Jaffna,2022,2,47.0
2023,3,Jaffna,2022,3,79.0
2023,3,Jaffna,2023,2,103.0
2023,3,Jaffna,2023,3,85.0
2023,3,Kilinochchi,2022,2,1.0
2023,3,Kilinochchi,2022,3,12.0
2023,3,Kilinochchi,2023,2,3.0
2023,3,Kilinochchi,2023,3,4.0
2023,3,Mannar,2022,2,28.0
2023,3,Mannar,2022,3,25.0
2023,3,Mannar,2023,2,17.0
2023,3,Mannar,2023,3,1.0
2023,3,Vavuniya,2022,2,8.0
2023,3,Vavuniya,2022,3,6.0
2023,3,Vavuniya,2023,2,1.0
2023,3,Vavuniya,2023,3,3.0
2023,3,Mullaitivu,2022,2,1.0
2023,3,Mullaitivu,2022,3,0.0
2023,3,Mullaitivu,2023,2,2.0
2023,3,Mullaitivu,2023,3,1.0
2023,3,Batticaloa,2022,2,32.0
2023,3,Batticaloa,2022,3,26.0
2023,3,Batticaloa,2023,2,28.0
2023,3,Batticaloa,2023,3,52.0
2023,3,Ampara,2022,2,7.0
2023,3,Ampara,2022,3,8.0
2023,3,Ampara,2023,2,3.0
2023,3,Ampara,2023,3,3.0
2023,3,Trincomalee,2022,2,24.0
2023,3,Trincomalee,2022,3,41.0
2023,3,Trincomalee,2023,2,31.0
2023,3,Trincomalee,2023,3,38.0
2023,3,Kalmunai,2022,2,17.0
2023,3,Kalmunai,2022,3,42.0
2023,3,Kalmunai,2023,2,107.0
2023,3,Kalmunai,2023,3,163.0
2023,3,Kurunegala,2022,2,157.0
2023,3,Kurunegala,2022,3,109.0
2023,3,Kurunegala,2023,2,73.0
2023,3,Kurunegala,2023,3,61.0
2023,3,Puttalam,2022,2,138.0
2023,3,Puttalam,2022,3,96.0
2023,3,Puttalam,2023,2,257.0
2023,3,Puttalam,2023,3,294.0
2023,3,Anuradhapura,2022,2,15.0
2023,3,Anuradhapura,2022,3,9.0
2023,3,Anuradhapura,2023,2,13.0
2023,3,Anuradhapura,2023,3,17.0
2023,3,Polonnaruwa,2022,2,9.0
2023,3,Polonnaruwa,2022,3,3.0
2023,3,Polonnaruwa,2023,2,13.0
2023,3,Polonnaruwa,2023,3,12.0
2023,3,Badulla,2022,2,55.0
2023,3,Badulla,2022,3,25.0
2023,3,Badulla,2023,2,31.0
2023,3,Badulla,2023,3,30.0
2023,3,Monaragala,2022,2,12.0
2023,3,Monaragala,2022,3,14.0
2023,3,Monaragala,2023,2,15.0
2023,3,Monaragala,2023,3,12.0
2023,3,Ratnapura,2022,2,65.0
2023,3,Ratnapura,2022,3,62.0
2023,3,Ratnapura,2023,2,55.0
2023,3,Ratnapura,2023,3,43.0
2023,3,Kegalle,2022,2,49.0
2023,3,Kegalle,2022,3,20.0
2023,3,Kegalle,2023,2,64.0
2023,3,Kegalle,2023,3,76.0
2023,3,Total,2022,2,2081.0
2023,3,Total,2022,3,1655.0
2023,3,Total,2023,2,2030.0
2023,3,Total,2023,3,2032.0
2023,4,Colombo,2022,3,411.0
2023,4,Colombo,2022,4,277.0
2023,4,Colombo,2023,3,394.0
2023,4,Colombo,2023,4,426.0
2023,4,Gampaha,2022,3,305.0
2023,4,Gampaha,2022,4,170.0
2023,4,Gampaha,2023,3,437.0
2023,4,Gampaha,2023,4,446.0
2023,4,Kalutara,2022,3,120.0
2023,4,Kalutara,2022,4,99.0
2023,4,Kalutara,2023,3,110.0
2023,4,Kalutara,2023,4,128.0
2023,4,Kandy,2022,3,73.0
2023,4,Kandy,2022,4,83.0
2023,4,Kandy,2023,3,66.0
2023,4,Kandy,2023,4,87.0
2023,4,Matale,2022,3,25.0
2023,4,Matale,2022,4,16.0
2023,4,Matale,2023,3,14.0
2023,4,Matale,2023,4,26.0
2023,4,Nuwara Eliya,2022,3,4.0
2023,4,Nuwara Eliya,2022,4,2.0
2023,4,Nuwara Eliya,2023,3,4.0
2023,4,Nuwara Eliya,2023,4,2.0
2023,4,Galle,2022,3,83.0
2023,4,Galle,2022,4,69.0
2023,4,Galle,2023,3,47.0
2023,4,Galle,2023,4,43.0
2023,4,Hambantota,2022,3,26.0
2023,4,Hambantota,2022,4,32.0
2023,4,Hambantota,2023,3,24.0
2023,4,Hambantota,2023,4,16.0
2023,4,Matara,2022,3,31.0
2023,4,Matara,2022,4,17.0
2023,4,Matara,2023,3,41.0
2023,4,Matara,2023,4,25.0
2023,4,Jaffna,2022,3,79.0
2023,4,Jaffna,2022,4,85.0
2023,4,Jaffna,2023,3,85.0
2023,4,Jaffna,2023,4,82.0
2023,4,Kilinochchi,2022,3,12.0
2023,4,Kilinochchi,2022,4,5.0
2023,4,Kilinochchi,2023,3,4.0
2023,4,Kilinochchi,2023,4,3.0
2023,4,Mannar,2022,3,25.0
2023,4,Mannar,2022,4,15.0
2023,4,Mannar,2023,3,1.0
2023,4,Mannar,2023,4,0.0
2023,4,Vavuniya,2022,3,6.0
2023,4,Vavuniya,2022,4,8.0
2023,4,Vavuniya,2023,3,3.0
2023,4,Vavuniya,2023,4,1.0
2023,4,Mullaitivu,2022,3,0.0
2023,4,Mullaitivu,2022,4,1.0
